Nome,Localidade,Tipo_inferido,Min_meses,Max_meses,Confianca,Telefone_status,Telefone_orig,Email,Lat,Lon
Casa das Abelhinhas,Lisboa,Infantário,4,72,Verificar,OK,+351 218982060,colmeiadasabelhinhas@escolas.min-edu.pt,38.779213,-9.095929
Colégio Santiago,Carnaxide,Infantário,4,72,Verificar,OK,+351 214177567,cl.santiago@escolas.min-edu.pt,38.721484,-9.223637
ATL,,ATL,72,144,Alta,SEM_TEL,,,38.704789,-9.358476
"Jardim de Infância ""As Quatro Estações""",Queluz,JI,36,72,Alta,OK,+351 214371445,ji.as4estacoes@escolas.min-edu.pt,38.754837,-9.27824
KriaBébés - Infantário,,Infantário,4,72,Alta,SEM_TEL,,,38.70866,-9.232145
"Creche e Jardim de Infância ""Marcolândia""",Algés,Infantário,4,72,Alta,OK,+351 214101453,ji.marcolandia@escolas.min-edu.pt,38.705933,-9.2261
Mimarte,Moscavide,Desconhecido,4,72,Verificar,OK,+351 219443265,geral@crechemimarte.pt,38.776607,-9.106309
Creche Gente Pequena,,Creche,4,36,Alta,SEM_TEL,,,38.765436,-9.153678
Xururuca,Estoril,Desconhecido,4,72,Verificar,SEM_TEL,,,38.706225,-9.385699
Jardim de Infância das Mercês,,JI,36,72,Alta,SEM_TEL,,,38.715412,-9.148635
Jardim de Infância Monte-Abraão,,JI,36,72,Alta,SEM_TEL,,,38.76365,-9.262824
Parque Infantil - Jardim das Palmeiras,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.699266,-9.275093
B-A-Baby,Algés,Desconhecido,4,72,Verificar,OK,+351 214121505,abc@b-a-baby.pt,38.712264,-9.226853
"Jardim de Infância ""A Cidade da Brincadeira""",,JI,36,72,Alta,SEM_TEL,,,38.673555,-9.15872
Creche do Centro Social Paroquial Padre Ricardo Gameiro da Cova da Piedade - A Nossa Creche,,Creche,4,36,Alta,SEM_TEL,,,38.669849,-9.162351
Centro Infantil de Santos-o-Novo,Lisboa,Infantário,4,72,Alta,OK,+351 218163080,,38.721825,-9.11723
"Jardim de Infância ""O Pirilampo do Cruzeiro""",Mem Martins,JI,36,72,Alta,OK,+351 219215823,opirilampodocruzeiro@escolas.min-edu.pt,38.789195,-9.349501
Creche Henriqueta Adelaide,,Creche,4,36,Alta,SEM_TEL,,,38.757183,-9.141714
O Mimo da Joaninha,,Infantário,4,72,Verificar,SEM_TEL,,,38.711434,-9.339564
Ser Criança,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.697602,-9.371585
A casa dos Sonhos,São Pedro do Estoril,Infantário,4,72,Verificar,SEM_TEL,,,38.695824,-9.36913
