Concelho,Equipamentos com creche (Carta Social),Lugares de creche (Carta Social),Crianças a frequentar (Carta Social),Ocupação %,Crianças 0-3 (est. INE×3),Taxa de cobertura %,Consultas creches.app (90d),Quota da procura AML %
Sintra,81,3749,3227,86,13239,28,105,22.6
Moita,11,677,560,83,2307,29,14,3.0
Amadora,43,2105,1878,89,6396,33,23,4.9
Seixal,41,1898,1778,94,5754,33,30,6.5
Palmela,13,649,619,95,1851,35,9,1.9
Odivelas,44,2039,1743,85,5445,37,30,6.5
Loures,51,2892,2515,87,6951,42,19,4.1
Montijo,19,865,754,87,1854,47,22,4.7
Sesimbra,12,606,571,94,1293,47,6,1.3
Mafra,16,1170,1127,96,2253,52,12,2.6
Barreiro,25,1336,1226,92,2514,53,16,3.4
Almada,50,2796,2438,87,5184,54,19,4.1
Setúbal,40,1865,1498,80,3321,56,11,2.4
Vila Franca de Xira,36,2460,2154,88,4017,61,15,3.2
Cascais,59,3366,2902,86,5175,65,12,2.6
Lisboa,198,11536,10197,88,17301,67,99,21.3
Alcochete,8,433,336,78,495,87,1,0.2
Oeiras,67,3644,3015,83,4158,88,22,4.7
