nome,email,tipo,distrito,localidade,views,ficha
Associação Comunitário Infantil e Juvenil da Ramada,geral@acijr.pt,IPSS,Lisboa,Ramada,0,https://creches.app/creche/associacao-comunitario-infantil-e-juvenil-da-ramada-1227395806
"Centro Infantil ""Golfinho Saltitão""",golfinhosaltitao@sapo.pt,Privada,Lisboa,Algés,0,https://creches.app/creche/centro-infantil-golfinho-saltitao-12063384373
Centro Infantil dos Olivais Sul,akfportugal@akdn.org,Privada,Lisboa,Lisboa,0,https://creches.app/creche/centro-infantil-dos-olivais-sul-1302618845
"Creche ""Saídos da Casca""",oriente@saidosdacasca.pt,Privada,Lisboa,Lisboa,0,https://creches.app/creche/creche-saidos-da-casca-164482046
Creche Mamã Galinha,crechemamagalinha@gmail.com,Privada,Lisboa,Póvoa de Santa Iria,0,https://creches.app/creche/creche-mama-galinha-1274264647
Creche O Pinhal,misericordiacascais@scmc.pt,Desconhecido,Lisboa,Galiza,0,https://creches.app/creche/creche-o-pinhal-560215736
Creche Planeta dos Traquinas,geral@planetadostraquinas.pt,Privada,Lisboa,Póvoa de Santa Iria,0,https://creches.app/creche/creche-planeta-dos-traquinas-11831664827
"Creche com Berçário ""Fraldinhas e Travessuras""",fraldinhastravessuras@gmail.com,Privada,Lisboa,Amadora,0,https://creches.app/creche/creche-com-bercario-fraldinhas-e-travessuras-12063384487
"Creche e Jardim de Infância ""Grãos de Gente""",direccao@graosdegente.pt,Privada,Lisboa,Oeiras,0,https://creches.app/creche/creche-e-jardim-de-infancia-graos-de-gente-190516285
Creche e Jardim de Infância Madre Maria Clara,geral@osmmac.pt,Privada,Lisboa,Queijas,0,https://creches.app/creche/creche-e-jardim-de-infancia-madre-maria-clara-1302366917
Creche na Quinta,geral@crechenaquinta.com,Privada,Lisboa,Lisboa,0,https://creches.app/creche/creche-na-quinta-1302595380
"Externato Infantil ""O Nosso Jardim""",infantil@onossojardim.com,Privada,Lisboa,Lisboa,0,https://creches.app/creche/externato-infantil-o-nosso-jardim-9408637256
IPSS - Centro Social Para o Desenvolvimento do Sobralinho,secretaria@cspds.pt,IPSS,Lisboa,Sobralinho,0,https://creches.app/creche/ipss-centro-social-para-o-desenvolvimento-do-sobralinho-1374262625
"Infantário Horizonte - ""Educar para Incluir""",recepcao1@horizonte.pt,Privada,Lisboa,Parede,0,https://creches.app/creche/infantario-horizonte-educar-para-incluir-1105378380
Infantário do Povo de Massamá,geral@infantario-povo.pt,Privada,Lisboa,Queluz,0,https://creches.app/creche/infantario-do-povo-de-massama-848440685
"Infantário e Jardim de Infância ""A Colmeia""",info@acolmeia.pt,Privada,Lisboa,Queluz,0,https://creches.app/creche/infantario-e-jardim-de-infancia-a-colmeia-1302345206
"Jardim Infantil ""O Rei na Barriga""",info@oreinabarriga.pt,Privada,Lisboa,Frielas,0,https://creches.app/creche/jardim-infantil-o-rei-na-barriga-12058101530
Jardim Infantil Quinta Dos Fidalgos,abei.geral@abeivfxira.pt,Privada,Lisboa,Vila Franca de Xira,0,https://creches.app/creche/jardim-infantil-quinta-dos-fidalgos-315283005
Jardim de Infância do Centro de Bem-Estar Infantil de Vila Franca de Xira,geral@cbei.pt,Privada,Lisboa,Vila Franca de Xira,0,https://creches.app/creche/jardim-de-infancia-do-centro-de-bem-estar-infantil-de-vila-franca-de-x-312966658
Ouriços do Saber,ouricosdosaber@gmail.com,Privada,Lisboa,,0,https://creches.app/creche/ouricos-do-saber-13026287620
Só miminhos,crechesomiminhos@gmail.com,Desconhecido,Lisboa,Lisboa,0,https://creches.app/creche/so-miminhos-8108472297
Academia Ramos Pinto,info@academiaramospinto.pt,Privada,Porto,Areosa,0,https://creches.app/creche/academia-ramos-pinto-1278799759
